,State,Abbreviation,DALY
0,Alabama,AL,589755.8
1,Alaska,AK,98664.7
2,Arizona,AZ,852195.8
3,Arkansas,AR,325822.3
4,California,CA,3741299.1
5,Colorado,CO,587855.6
6,Connecticut,CT,404694.7
7,Delaware,DC,117115.2
8,District of Columbia,DE,73975.4
9,Florida,FL,2271085.0
10,Georgia,GA,1080402.4
11,Hawaii,HI,125495.9
12,Idaho,ID,179473.9
13,Illinois,IL,1276507.1
14,Indiana,IN,775218.0
15,Iowa,IA,266206.3
16,Kansas,KS,284325.2
17,Kentucky,KY,685360.0
18,Louisiana,LA,554873.8
19,Maine,ME,161132.0
20,Maryland,MD,532118.0
21,Massachusetts,MA,804230.4
22,Michigan,MI,1152640.3
23,Minnesota,MN,476501.3
24,Mississippi,MS,347522.3
25,Missouri,MO,707063.7
26,Montana,MT,119500.7
27,Nebraska,NE,151920.6
28,Nevada,NV,393060.2
29,New Hampshire,NH,174661.9
30,New Jersey,NJ,896411.7
31,New Mexico,NM,294983.1
32,New York,NY,1936880.0
33,North Carolina,NC,1108267.3
34,North Dakota,ND,58663.3
35,Ohio,OH,1536390.3
36,Oklahoma,OK,520166.1
37,Oregon,OR,460078.8
38,Pennsylvania,PA,1620977.1
39,Rhode Island,RI,136739.9
40,South Carolina,SC,584462.0
41,South Dakota,SD,69024.6
42,Tennessee,TN,907924.7
43,Texas,TX,2544857.0
44,Utah,UT,356579.6
45,Vermont,VT,65389.4
46,Virginia,VA,839722.2
47,Washington,WA,799690.8
48,West Virginia,WV,332650.9
49,Wisconsin,WI,614357.0
50,Wyoming,WY,68878.6
