STATE,RATE,DEATHS
AK,27.0,200
AL,16.6,836
AR,20.8,631
AZ,18.2,"1,327"
CA,10.5,"4,312"
CO,20.3,"1,181"
CT,10.5,405
DE,11.6,112
FL,14.0,"3,227"
GA,13.6,"1,451"
HI,15.2,227
IA,15.0,479
ID,23.2,392
IL,11.2,"1,474"
IN,16.3,"1,092"
KS,19.1,553
KY,16.9,770
LA,15.2,720
MA,9.5,682
MD,9.8,630
ME,18.9,274
MI,14.1,"1,457"
MN,13.8,783
MO,18.5,"1,151"
MS,15.0,445
MT,28.9,311
NC,14.3,"1,521"
ND,20.1,154
NE,14.7,275
NH,18.9,265
NJ,8.3,795
NM,23.3,491
NV,20.3,627
NY,8.1,"1,696"
OH,14.8,"1,740"
OK,19.1,756
OR,19.0,825
PA,15.0,"2,030"
RI,11.8,129
SC,16.3,838
SD,22.5,191
TN,16.8,"1,166"
TX,13.4,"3,778"
UT,22.7,663
VA,13.4,"1,179"
VT,18.3,112
WA,16.9,"1,297"
WI,15.4,926
WV,21.1,393
WY,26.9,157
