,State,Abbreviation,YLL
0,Alabama,AL,202536.9
1,Alaska,AK,35573.3
2,Arizona,AZ,249389.4
3,Arkansas,AR,81269.8
4,California,CA,878335.4
5,Colorado,CO,159679.8
6,Connecticut,CT,110526.3
7,Delaware,DC,36157.8
8,District of Columbia,DE,18866.0
9,Florida,FL,692897.1
10,Georgia,GA,299419.7
11,Hawaii,HI,23042.4
12,Idaho,ID,42746.8
13,Illinois,IL,334113.8
14,Indiana,IN,238126.5
15,Iowa,IA,56814.2
16,Kansas,KS,71569.3
17,Kentucky,KY,272945.2
18,Louisiana,LA,187594.7
19,Maine,ME,51059.2
20,Maryland,MD,90056.9
21,Massachusetts,MA,244567.4
22,Michigan,MI,380566.7
23,Minnesota,MN,96826.9
24,Mississippi,MS,116049.8
25,Missouri,MO,223861.0
26,Montana,MT,36846.5
27,Nebraska,NE,27610.6
28,Nevada,NV,124349.4
29,New Hampshire,NH,56706.0
30,New Jersey,NJ,237012.0
31,New Mexico,NM,108137.1
32,New York,NY,444441.9
33,North Carolina,NC,324179.2
34,North Dakota,ND,12701.1
35,Ohio,OH,558669.1
36,Oklahoma,OK,185454.3
37,Oregon,OR,129431.8
38,Pennsylvania,PA,546866.2
39,Rhode Island,RI,39862.2
40,South Carolina,SC,178171.2
41,South Dakota,SD,15327.6
42,Tennessee,TN,324836.8
43,Texas,TX,607737.6
44,Utah,UT,92582.4
45,Vermont,VT,16377.5
46,Virginia,VA,195684.5
47,Washington,WA,224512.9
48,West Virginia,WV,148374.1
49,Wisconsin,WI,156097.5
50,Wyoming,WY,22443.3
