,State,Prevalence,Incidence,Suicide rate,% Uninsured,Population/Provider
0,AL,1660935.9,574877.5,16.6,19.3,1260.0
1,AK,1767354.7,627095.7,27.0,14.9,300.0
2,AZ,1799871.5,644322.7,18.2,15.9,850.0
3,AR,1737910.3,648514.7,20.8,18.1,510.0
4,CA,1597475.5,536310.0,10.5,13.3,350.0
5,CO,1733491.0,633348.7,20.3,8.7,350.0
6,CT,1680839.4,522888.9,10.5,9.3,310.0
7,DE,1723432.7,521089.4,11.6,11.1,230.0
8,FL,1659272.3,571913.6,14.0,4.9,750.0
9,GA,1597750.3,559305.8,13.6,21.0,900.0
10,HI,1605128.8,575189.6,15.2,19.2,470.0
11,ID,1736761.8,644902.2,23.2,5.3,550.0
12,IL,1587535.7,512863.9,11.2,19.3,580.0
13,IN,1698578.0,620159.9,16.3,13.9,730.0
14,IA,1569272.5,560572.3,15.0,16.1,820.0
15,KS,1625737.1,586257.1,19.1,9.3,580.0
16,KY,1787568.9,620857.7,16.9,18.5,560.0
17,LA,1674501.7,558927.7,15.2,8.1,600.0
18,ME,1727602.4,604229.9,18.9,17.7,240.0
19,MD,1615887.2,567943.1,9.8,13.3,490.0
20,MA,1698688.9,548824.1,9.5,11.3,200.0
21,MI,1702574.6,585000.1,14.1,3.3,460.0
22,MN,1578455.1,560933.1,13.8,12.5,510.0
23,MS,1657191.1,576263.6,15.0,6.8,820.0
24,MO,1673690.2,609357.3,18.5,20.4,360.0
25,MT,1773707.1,659323.8,28.9,22.5,410.0
26,NE,1553894.6,544687.9,14.7,18.6,440.0
27,NV,1764237.7,641005.7,20.3,15.3,580.0
28,NH,1757031.7,607199.1,18.9,19.0,390.0
29,NJ,1589181.2,488409.2,8.3,10.9,580.0
30,NM,1841779.4,670918.6,23.3,10.9,280.0
31,NY,1649722.7,575831.6,8.1,11.3,420.0
32,NC,1605966.9,554688.6,14.3,10.8,490.0
33,ND,1546276.0,531634.0,20.1,10.3,640.0
34,OH,1731831.0,586964.4,14.8,15.0,630.0
35,OK,1764593.9,646922.2,19.1,10.7,270.0
36,OR,1705899.1,621533.1,19.0,11.9,250.0
37,PA,1694410.8,561725.6,15.0,17.7,600.0
38,RI,1835626.5,620755.8,11.8,14.5,290.0
39,SC,1722252.8,597041.6,16.3,9.6,680.0
40,SD,1540322.5,522359.5,22.5,8.2,660.0
41,TN,1760581.8,622951.4,16.8,11.8,780.0
42,TX,1551578.9,536605.7,13.4,23.3,1070.0
43,UT,1774482.8,701362.3,22.7,17.7,380.0
44,VT,1691432.2,601512.4,18.3,5.6,260.0
45,VA,1622684.6,570410.9,13.4,14.6,730.0
46,WA,1719890.2,613215.7,16.9,11.9,360.0
47,WV,1902669.7,659853.5,21.1,11.9,950.0
48,WI,1709160.6,587418.5,15.4,9.0,600.0
49,WY,1713907.7,652507.0,26.9,20.7,350.0
